time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
4.571428624850733e-07	5.744637e-03	1.867007e-05
9.142857249701465e-07	1.148925e-02	6.649688e-05
1.371428587455220e-06	1.723384e-02	1.434804e-04
1.828571449940293e-06	2.297840e-02	2.496207e-04
2.285714312425366e-06	2.872294e-02	3.849178e-04
2.742857174910440e-06	3.446746e-02	5.493716e-04
3.200000037395512e-06	4.021195e-02	7.429821e-04
5.895260633573296e-06	7.407932e-02	2.326871e-03
9.824207684250766e-06	1.234421e-01	5.926079e-03
1.470702018425077e-05	1.847718e-01	1.220662e-02
1.958983268425077e-05	2.460736e-01	2.029118e-02
2.447264518425077e-05	3.073385e-01	3.001435e-02
2.935545768425077e-05	3.685570e-01	4.112911e-02
3.423827018425077e-05	4.297200e-01	5.341865e-02
3.912108268425076e-05	4.908183e-01	6.669270e-02
4.400389518425076e-05	5.518427e-01	8.078432e-02
4.888670768425076e-05	6.127840e-01	9.554715e-02
5.376952018425076e-05	6.736330e-01	1.108528e-01
5.865233268425075e-05	7.343805e-01	1.265890e-01
6.841795768425076e-05	8.555348e-01	1.589709e-01
7.818358268425076e-05	9.761736e-01	1.920438e-01
8.794920768425077e-05	1.096224e+00	2.253117e-01
1.025976451842508e-04	1.275040e+00	2.747784e-01
1.123632701842508e-04	1.393480e+00	3.073017e-01
1.221288951842508e-04	1.510906e+00	3.388005e-01
1.318945201842508e-04	1.627317e+00	3.692749e-01
1.416601451842508e-04	1.742713e+00	3.987248e-01
1.514257701842509e-04	1.857096e+00	4.271502e-01
1.611913951842509e-04	1.970464e+00	4.545511e-01
1.709570201842508e-04	2.082817e+00	4.809276e-01
1.904882701842509e-04	2.304582e+00	5.295415e-01
2.100195201842509e-04	2.519548e+00	5.734876e-01
2.295507701842509e-04	2.727717e+00	6.127658e-01
2.490820201842509e-04	2.929087e+00	6.473762e-01
2.686132701842510e-04	3.123659e+00	6.773188e-01
2.881445201842510e-04	3.311432e+00	7.025935e-01
3.076757701842509e-04	3.492408e+00	7.232004e-01
3.397628237556795e-04	3.772717e+00	7.468577e-01
3.718498773271081e-04	4.024944e+00	7.610958e-01
4.039369308985368e-04	4.249091e+00	7.659147e-01
4.360239844699654e-04	4.445157e+00	7.613145e-01
4.681110380413939e-04	4.613142e+00	7.472951e-01
5.001980916128226e-04	4.753046e+00	7.238565e-01
5.322851451842511e-04	4.864870e+00	6.909988e-01
5.560016630413940e-04	4.925144e+00	6.624035e-01
5.797181808985368e-04	4.967733e+00	6.306094e-01
6.034346987556798e-04	4.992637e+00	5.956164e-01
6.271512166128227e-04	4.999854e+00	5.574246e-01
6.508677344699655e-04	4.989386e+00	5.160340e-01
6.745842523271084e-04	4.961232e+00	4.714445e-01
6.983007701842512e-04	4.915392e+00	4.236561e-01
7.101590291128226e-04	4.885827e+00	3.990928e-01
7.220172880413942e-04	4.852008e+00	3.740526e-01
7.338755469699656e-04	4.813935e+00	3.485354e-01
7.457338058985370e-04	4.771610e+00	3.225414e-01
7.575920648271085e-04	4.725032e+00	2.960704e-01
7.694503237556799e-04	4.674200e+00	2.691226e-01
7.813085826842513e-04	4.619116e+00	2.416978e-01
7.959570201842513e-04	4.545533e+00	2.074129e-01
8.078152791128227e-04	4.481285e+00	1.792103e-01
8.196735380413942e-04	4.413218e+00	1.507887e-01
8.315317969699657e-04	4.341332e+00	1.221482e-01
8.433900558985371e-04	4.265627e+00	9.328867e-02
8.552483148271086e-04	4.186103e+00	6.421020e-02
8.671065737556800e-04	4.102761e+00	3.491277e-02
8.789648326842514e-04	4.015599e+00	5.396382e-03
8.880329130413943e-04	3.946571e+00	-1.722533e-02
8.971009933985371e-04	3.875588e+00	-3.986322e-02
9.061690737556800e-04	3.802651e+00	-6.251726e-02
9.152371541128228e-04	3.727758e+00	-8.518748e-02
9.243052344699657e-04	3.650912e+00	-1.078739e-01
9.333733148271086e-04	3.572110e+00	-1.305764e-01
9.424413951842515e-04	3.491354e+00	-1.532951e-01
9.654603683985367e-04	3.276566e+00	-2.112264e-01
9.884793416128220e-04	3.052776e+00	-2.682141e-01
1.011498314827108e-03	2.819983e+00	-3.242582e-01
1.034517288041393e-03	2.578188e+00	-3.793587e-01
1.057536261255678e-03	2.327390e+00	-4.335155e-01
1.080555234469963e-03	2.067591e+00	-4.867287e-01
1.103574207684249e-03	1.798788e+00	-5.389983e-01
1.121710368398534e-03	1.583196e+00	-5.788422e-01
1.139846529112819e-03	1.365459e+00	-6.173738e-01
1.157982689827105e-03	1.145578e+00	-6.545933e-01
1.176118850541390e-03	9.235514e-01	-6.905006e-01
1.194255011255675e-03	6.993801e-01	-7.250957e-01
1.212391171969961e-03	4.730640e-01	-7.583786e-01
1.230527332684246e-03	2.446031e-01	-7.903493e-01
1.234015055898532e-03	2.008103e-01	-7.962819e-01
1.237502779112817e-03	1.570105e-01	-8.021546e-01
1.240990502327103e-03	1.132036e-01	-8.079671e-01
1.244478225541389e-03	6.938980e-02	-8.137197e-01
1.247965948755674e-03	2.556894e-02	-8.194122e-01
1.251453671969960e-03	-1.825892e-02	-8.250447e-01
1.254941395184245e-03	-6.209381e-02	-8.306172e-01
1.266102109469959e-03	-2.025642e-01	-8.480618e-01
1.277262823755674e-03	-3.426008e-01	-8.648268e-01
1.288423538041388e-03	-4.822036e-01	-8.809124e-01
1.299584252327102e-03	-6.213727e-01	-8.963185e-01
1.310744966612816e-03	-7.601079e-01	-9.110452e-01
1.321905680898530e-03	-8.984094e-01	-9.250923e-01
1.333066395184244e-03	-1.036277e+00	-9.384600e-01
1.342134475541386e-03	-1.147619e+00	-9.487770e-01
1.351202555898529e-03	-1.258223e+00	-9.585988e-01
1.360270636255672e-03	-1.368088e+00	-9.679255e-01
1.369338716612814e-03	-1.477214e+00	-9.767570e-01
1.378406796969957e-03	-1.585602e+00	-9.850934e-01
1.387474877327100e-03	-1.693251e+00	-9.929347e-01
1.396542957684242e-03	-1.800162e+00	-1.000281e+00
1.412586484469956e-03	-1.987458e+00	-1.012036e+00
1.428630011255670e-03	-2.170798e+00	-1.022135e+00
1.444673538041384e-03	-2.350180e+00	-1.030577e+00
1.460717064827098e-03	-2.525606e+00	-1.037363e+00
1.476760591612812e-03	-2.697075e+00	-1.042492e+00
1.492804118398526e-03	-2.864586e+00	-1.045964e+00
1.508847645184240e-03	-3.028141e+00	-1.047779e+00
1.518613270184240e-03	-3.125010e+00	-1.048040e+00
1.528378895184240e-03	-3.219858e+00	-1.047678e+00
1.538144520184239e-03	-3.312684e+00	-1.046691e+00
1.547910145184239e-03	-3.403489e+00	-1.045080e+00
1.557675770184239e-03	-3.492271e+00	-1.042846e+00
1.567441395184239e-03	-3.579033e+00	-1.039987e+00
1.577207020184239e-03	-3.663772e+00	-1.036505e+00
1.601621082684238e-03	-3.867051e+00	-1.024907e+00
1.626035145184238e-03	-4.054195e+00	-1.009659e+00
1.650449207684237e-03	-4.225202e+00	-9.907595e-01
1.674863270184236e-03	-4.380073e+00	-9.682094e-01
1.699277332684236e-03	-4.518809e+00	-9.420085e-01
1.723691395184235e-03	-4.641408e+00	-9.121567e-01
1.748105457684235e-03	-4.747872e+00	-8.786541e-01
1.776007243398520e-03	-4.846498e+00	-8.359658e-01
1.803909029112805e-03	-4.920744e+00	-7.898008e-01
1.831810814827090e-03	-4.970609e+00	-7.401592e-01
1.859712600541375e-03	-4.996094e+00	-6.870409e-01
1.887614386255661e-03	-4.997197e+00	-6.304460e-01
1.915516171969946e-03	-4.973920e+00	-5.703745e-01
1.943417957684231e-03	-4.926262e+00	-5.068264e-01
1.957368850541373e-03	-4.893095e+00	-4.743347e-01
1.971319743398516e-03	-4.854055e+00	-4.413651e-01
1.985270636255658e-03	-4.809141e+00	-4.079176e-01
1.999221529112801e-03	-4.758354e+00	-3.739921e-01
2.013172421969944e-03	-4.701693e+00	-3.395886e-01
2.027123314827086e-03	-4.639158e+00	-3.047073e-01
2.041074207684229e-03	-4.570750e+00	-2.693479e-01
2.048747198755657e-03	-4.530775e+00	-2.497965e-01
2.056420189827086e-03	-4.489155e+00	-2.301709e-01
2.064093180898514e-03	-4.445890e+00	-2.104712e-01
2.071766171969942e-03	-4.400982e+00	-1.906974e-01
2.079439163041371e-03	-4.354429e+00	-1.708495e-01
2.087112154112799e-03	-4.306231e+00	-1.509276e-01
2.094785145184228e-03	-4.256390e+00	-1.309315e-01
2.102458136255656e-03	-4.204956e+00	-1.108869e-01
2.110131127327085e-03	-4.152010e+00	-9.082010e-02
2.117804118398513e-03	-4.097551e+00	-7.073114e-02
2.125477109469941e-03	-4.041579e+00	-5.062000e-02
2.133150100541369e-03	-3.984094e+00	-3.048670e-02
2.140823091612798e-03	-3.925096e+00	-1.033122e-02
2.148496082684226e-03	-3.864585e+00	9.846433e-03
2.162446975541369e-03	-3.750612e+00	4.659524e-02
2.176397868398512e-03	-3.632407e+00	8.317402e-02
2.190348761255654e-03	-3.509970e+00	1.195828e-01
2.204299654112797e-03	-3.383302e+00	1.558215e-01
2.218250546969939e-03	-3.252401e+00	1.918903e-01
2.232201439827082e-03	-3.117269e+00	2.277890e-01
2.246152332684224e-03	-2.977905e+00	2.635177e-01
2.271263939827081e-03	-2.715829e+00	3.273716e-01
2.296375546969937e-03	-2.445722e+00	3.893257e-01
2.321487154112794e-03	-2.167585e+00	4.493801e-01
2.346598761255651e-03	-1.881417e+00	5.075348e-01
2.371710368398507e-03	-1.587218e+00	5.637897e-01
2.396821975541364e-03	-1.284989e+00	6.181449e-01
2.421933582684221e-03	-9.747296e-01	6.706004e-01
2.433094296969935e-03	-8.365313e-01	6.928546e-01
2.444255011255649e-03	-6.979484e-01	7.145223e-01
2.455415725541363e-03	-5.589808e-01	7.356033e-01
2.466576439827077e-03	-4.196286e-01	7.560978e-01
2.477737154112791e-03	-2.798917e-01	7.760057e-01
2.488897868398505e-03	-1.397701e-01	7.953271e-01
2.500058582684219e-03	7.361717e-04	8.140618e-01
2.511219296969933e-03	1.412418e-01	8.321483e-01
2.522380011255647e-03	2.813617e-01	8.495472e-01
2.533540725541361e-03	4.210957e-01	8.662587e-01
2.544701439827075e-03	5.604439e-01	8.822827e-01
2.555862154112789e-03	6.994063e-01	8.976192e-01
2.567022868398503e-03	8.379829e-01	9.122683e-01
2.578183582684217e-03	9.761736e-01	9.262298e-01
2.584461484469931e-03	1.053469e+00	9.337505e-01
2.590739386255645e-03	1.130454e+00	9.410344e-01
2.597017288041360e-03	1.207130e+00	9.480814e-01
2.603295189827074e-03	1.283495e+00	9.548915e-01
2.609573091612788e-03	1.359550e+00	9.614648e-01
2.615850993398502e-03	1.435296e+00	9.678012e-01
2.622128895184216e-03	1.510732e+00	9.739008e-01
2.640265055898502e-03	1.727407e+00	9.901992e-01
2.658401216612787e-03	1.939422e+00	1.004380e+00
2.676537377327072e-03	2.146776e+00	1.016443e+00
2.694673538041357e-03	2.349470e+00	1.026388e+00
2.712809698755643e-03	2.547503e+00	1.034215e+00
2.730945859469928e-03	2.740875e+00	1.039925e+00
2.749082020184214e-03	2.929586e+00	1.043516e+00
2.758847645184213e-03	3.028282e+00	1.044526e+00
2.768613270184213e-03	3.125012e+00	1.044908e+00
2.778378895184213e-03	3.219776e+00	1.044661e+00
2.788144520184213e-03	3.312574e+00	1.043785e+00
2.797910145184213e-03	3.403405e+00	1.042280e+00
2.807675770184212e-03	3.492270e+00	1.040147e+00
2.817441395184212e-03	3.579168e+00	1.037385e+00
2.840460368398497e-03	3.776409e+00	1.028263e+00
2.863479341612783e-03	3.959620e+00	1.015836e+00
2.886498314827068e-03	4.128801e+00	1.000106e+00
2.909517288041353e-03	4.283952e+00	9.810710e-01
2.932536261255638e-03	4.425074e+00	9.587321e-01
2.955555234469923e-03	4.552166e+00	9.330891e-01
2.978574207684209e-03	4.665229e+00	9.041419e-01
3.007173538041351e-03	4.783050e+00	8.635342e-01
3.035772868398493e-03	4.875368e+00	8.190991e-01
3.064372198755635e-03	4.942183e+00	7.708365e-01
3.092971529112778e-03	4.983495e+00	7.187465e-01
3.121570859469920e-03	4.999305e+00	6.628290e-01
3.150170189827062e-03	4.989611e+00	6.030840e-01
3.178769520184204e-03	4.954414e+00	5.395116e-01
3.194115502327061e-03	4.924576e+00	5.044684e-01
3.209461484469918e-03	4.887582e+00	4.688101e-01
3.224807466612775e-03	4.843433e+00	4.325367e-01
3.240153448755632e-03	4.792128e+00	3.956484e-01
3.255499430898489e-03	4.733667e+00	3.581449e-01
3.270845413041346e-03	4.668051e+00	3.200264e-01
3.286191395184202e-03	4.595279e+00	2.812929e-01
3.292469296969916e-03	4.563594e+00	2.653701e-01
3.298747198755630e-03	4.530794e+00	2.493913e-01
3.305025100541344e-03	4.496880e+00	2.333563e-01
3.311303002327059e-03	4.461850e+00	2.172653e-01
3.317580904112773e-03	4.425705e+00	2.011182e-01
3.323858805898487e-03	4.388446e+00	1.849150e-01
3.330136707684201e-03	4.350072e+00	1.686558e-01
3.339204788041344e-03	4.292684e+00	1.450808e-01
3.348272868398487e-03	4.233147e+00	1.214613e-01
3.357340948755629e-03	4.171460e+00	9.779710e-02
3.366409029112772e-03	4.107625e+00	7.408830e-02
3.375477109469914e-03	4.041641e+00	5.033489e-02
3.384545189827057e-03	3.973508e+00	2.653685e-02
3.393613270184200e-03	3.903226e+00	2.694195e-03
3.404773984469914e-03	3.813860e+00	-2.667071e-02
3.415934698755628e-03	3.721680e+00	-5.595721e-02
3.427095413041342e-03	3.626689e+00	-8.516532e-02
3.438256127327056e-03	3.528884e+00	-1.142950e-01
3.449416841612770e-03	3.428267e+00	-1.433463e-01
3.460577555898484e-03	3.324837e+00	-1.723193e-01
3.471738270184198e-03	3.218594e+00	-2.012138e-01
3.497547421969912e-03	2.960823e+00	-2.679125e-01
3.523356573755626e-03	2.693528e+00	-3.328241e-01
3.549165725541340e-03	2.416708e+00	-3.959485e-01
3.574974877327053e-03	2.130364e+00	-4.572858e-01
3.600784029112767e-03	1.834496e+00	-5.168360e-01
3.626593180898481e-03	1.529103e+00	-5.745989e-01
